GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
VaultCore Financial,com.vaultcore.dto,ApiResponse,0,13,0,0,0,7,0,1,0,1
VaultCore Financial,com.vaultcore.service,TransferService,18,264,5,9,1,69,6,7,1,5
VaultCore Financial,com.vaultcore.service,StatementService,403,4,4,0,86,1,5,1,3,1
VaultCore Financial,com.vaultcore.service,AccountService,90,4,2,0,21,1,8,1,7,1
VaultCore Financial,com.vaultcore.service,AuditService,46,52,5,3,7,19,7,4,3,4
VaultCore Financial,com.vaultcore.service,MockNotificationService,18,12,0,0,4,3,2,2,2,2
VaultCore Financial,com.vaultcore.service,StockService,175,4,6,0,43,1,8,1,5,1
VaultCore Financial,com.vaultcore.service,SmtpNotificationService,54,0,0,0,16,0,2,0,2,0
VaultCore Financial,com.vaultcore,VaultCoreApplication,5,3,0,0,2,1,1,1,1,1
VaultCore Financial,com.vaultcore.aspect,FraudInterceptor,0,147,4,12,0,29,4,7,0,3
VaultCore Financial,com.vaultcore.aspect,AuditAspect,2,71,2,2,0,18,2,2,0,2
VaultCore Financial,com.vaultcore.security,AuditAspect,82,4,14,0,19,1,9,1,2,1
VaultCore Financial,com.vaultcore.security,MockNotificationService,16,11,0,0,4,3,2,2,2,2
VaultCore Financial,com.vaultcore.exception,GlobalExceptionHandler,105,7,0,0,25,2,7,2,7,2
VaultCore Financial,com.vaultcore.exception,InsufficientBalanceException,0,4,0,0,0,2,0,1,0,1
VaultCore Financial,com.vaultcore.exception,MfaRequiredException,10,0,0,0,4,0,2,0,2,0
VaultCore Financial,com.vaultcore.exception,AccountNotFoundException,0,4,0,0,0,2,0,1,0,1
VaultCore Financial,com.vaultcore.exception,PendingMfaException,0,10,0,0,0,4,0,2,0,2
VaultCore Financial,com.vaultcore.config,SecurityConfig,0,251,0,0,0,37,0,15,0,15
VaultCore Financial,com.vaultcore.config,WebClientConfig,0,13,0,0,0,6,0,3,0,3
VaultCore Financial,com.vaultcore.config,RedisConfig,0,87,0,0,0,22,0,3,0,3
VaultCore Financial,com.vaultcore.controller,MfaController.MfaVerifyRequest,0,6,0,0,0,1,0,1,0,1
VaultCore Financial,com.vaultcore.controller,AuthController.KeycloakTokenResponse,18,0,0,0,1,0,1,0,1,0
VaultCore Financial,com.vaultcore.controller,StatementController,26,0,0,0,6,0,2,0,2,0
VaultCore Financial,com.vaultcore.controller,AuthController,334,12,24,0,98,5,19,1,7,1
VaultCore Financial,com.vaultcore.controller,MfaController,0,86,2,6,0,22,2,4,0,2
VaultCore Financial,com.vaultcore.controller,StockController,13,0,0,0,2,0,2,0,2,0
VaultCore Financial,com.vaultcore.controller,AuditController,20,0,0,0,3,0,3,0,3,0
VaultCore Financial,com.vaultcore.controller,TransferController,16,0,2,0,3,0,2,0,1,0
VaultCore Financial,com.vaultcore.controller,AuthController.LoginRequest,9,0,0,0,1,0,1,0,1,0
VaultCore Financial,com.vaultcore.controller,AccountController,18,0,0,0,3,0,3,0,3,0
